position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
12.271081,75.484663,-9.475173,3.445606,6.722374,1502.090157,7.693764,6.874842,5.85453,83.825022,0.182032,0.776529
12.430446,75.487227,-9.47978,5.042879,6.85085,1495.850794,7.691034,6.081153,6.065551,82.810417,2.522975,0.774663
12.589811,75.489791,-9.484387,5.740549,7.234324,1503.866287,7.688276,4.336495,9.501095,80.421863,6.373225,0.772794
12.749175,75.492354,-9.488994,6.212874,6.910276,1519.754973,7.685489,3.616406,8.881989,81.288729,7.005248,0.770922
12.90854,75.494918,-9.493602,7.945851,6.192816,1529.697311,7.682673,3.159387,5.569328,83.325432,5.906654,0.769048
13.067905,75.497482,-9.498209,4.825863,6.309919,1529.226834,7.679829,5.897487,6.13872,83.137928,6.558231,0.76717
13.227269,75.500046,-9.502816,3.637787,6.531549,1521.405093,7.676957,6.37923,7.438593,82.544388,7.898222,0.76529
13.386634,75.50261,-9.507423,3.599185,6.451422,1515.026318,7.674056,6.174321,7.567435,82.659059,7.59628,0.763407
13.545999,75.505174,-9.51203,2.361993,6.363998,1506.751334,7.671127,6.519852,6.83759,84.280567,7.902173,0.76152
13.705363,75.507738,-9.516637,2.767507,6.173001,1479.367797,7.668169,6.040314,5.440583,85.751599,10.208267,0.759631
13.864728,75.510302,-9.521244,4.814498,6.354149,1447.582085,7.665183,5.14198,5.616412,84.427111,8.465785,0.757739
14.024093,75.512866,-9.525851,4.496951,6.646058,1435.25013,7.662169,5.154925,7.069594,83.278529,6.031016,0.755844
14.183457,75.515431,-9.530458,3.404019,6.711693,1435.189396,7.659126,5.910662,7.186554,83.498762,7.066591,0.753946
14.342822,75.517996,-9.535065,2.946057,6.934589,1431.367113,7.656054,6.140006,8.187662,82.726273,8.11615,0.752045
14.502187,75.52056,-9.539672,3.319824,7.238996,1420.241091,7.652955,5.665303,9.922954,81.091919,9.226372,0.750141
14.661552,75.523124,-9.544279,4.91877,7.537563,1401.977354,7.649826,5.082614,10.493295,79.50532,10.005882,0.748234
14.820916,75.525689,-9.548886,7.029531,7.705202,1380.831807,7.646669,4.960318,9.264413,78.745737,10.032941,0.746325
14.980281,75.528254,-9.553493,6.425979,7.561751,1362.198334,7.643484,4.14958,13.056009,76.368431,10.495274,0.744412
15.139646,75.530818,-9.5581,5.242756,7.569619,1335.588666,7.64027,3.753853,16.472227,74.531162,11.260049,0.742496
15.29901,75.533383,-9.562707,3.459875,7.457075,1307.394084,7.637028,2.997269,20.66292,72.879934,10.105918,0.740578
15.458375,75.535948,-9.567314,1.863165,7.32957,1284.279632,7.633758,1.964507,23.665117,72.50721,7.935916,0.738657
15.61774,75.538513,-9.571921,1.083482,7.481152,1269.735534,7.630459,2.713099,20.382138,75.821283,4.622858,0.736732
15.777104,75.541078,-9.576527,0.574475,7.822123,1263.964875,7.627131,3.182086,19.045304,77.198137,1.166809,0.734805
15.936469,75.543643,-9.581134,0.890553,7.89714,1266.251973,7.623775,3.183684,18.414874,77.510887,1.856731,0.732875
16.095834,75.546208,-9.585741,1.18249,7.696136,1278.008315,7.620391,2.941646,17.478719,78.397145,4.703613,0.730941
16.255198,75.548774,-9.590348,0.532411,7.926112,1294.881251,7.616978,2.762117,19.299837,77.405635,8.393282,0.729005
16.414563,75.55134,-9.594954,1.293459,7.795384,1323.927063,7.613536,3.457193,17.075888,78.173458,12.742736,0.727066
16.573928,75.553904,-9.599561,2.913374,7.612959,1363.830455,7.610066,2.727083,16.155964,78.20358,15.410435,0.725124
16.733293,75.55647,-9.604168,5.521647,7.398922,1411.971321,7.606568,2.464468,14.871649,77.14224,15.227637,0.723179
16.892657,75.559035,-9.608775,5.062723,7.185463,1453.509243,7.603042,2.001805,13.374842,79.560628,15.147,0.721232
17.052022,75.561601,-9.613381,4.725485,6.79703,1500.175231,7.599486,2.611159,11.162364,81.500993,15.393998,0.719281
17.211387,75.564168,-9.617988,5.873855,6.923977,1538.557716,7.595903,2.544885,10.586969,80.994292,14.889925,0.717327
17.370751,75.566732,-9.622595,8.384399,6.709827,1580.887432,7.592291,2.346464,7.735568,81.53357,14.00829,0.71537
17.530116,75.569298,-9.627201,9.605367,6.614206,1618.47374,7.58865,2.202706,6.372966,81.818961,10.762349,0.713411
17.689481,75.571864,-9.631808,10.740893,6.211482,1637.396539,7.584981,1.78247,4.762461,82.714177,7.185209,0.711448
17.848845,75.57443,-9.636415,9.487443,5.711389,1645.826735,7.581283,1.624855,4.903799,83.983905,4.658379,0.709483
18.00821,75.576996,-9.641021,9.598694,5.739936,1624.538634,7.577557,1.456359,6.122335,82.822611,14.200113,0.707515
18.167575,75.579563,-9.645627,8.440229,5.864921,1567.470755,7.573803,1.11512,10.832291,79.612361,21.871104,0.705543
18.326939,75.582128,-9.650234,8.236134,4.781106,1494.542152,7.57002,1.079426,10.303699,80.38074,24.413764,0.703569
18.486304,75.584695,-9.654841,7.824817,4.295768,1420.090703,7.566208,1.354368,9.244202,81.576611,25.441377,0.701592
18.645669,75.587261,-9.659447,6.970888,4.577574,1346.431255,7.562368,1.369828,11.647327,80.011956,25.920543,0.699612
18.805033,75.589827,-9.664054,5.830002,4.936684,1272.306761,7.5585,1.431997,14.208308,78.529692,25.828614,0.697629
18.964398,75.592394,-9.66866,4.775193,4.879635,1195.136344,7.554603,0.963836,15.228326,79.032642,26.197636,0.695643
19.123763,75.59496,-9.673267,2.780689,4.652319,1112.380358,7.550677,1.218248,15.233335,80.767727,27.480859,0.693654
19.283128,75.597528,-9.677872,2.521823,4.428403,1030.930723,7.546724,1.330328,14.092073,82.055776,28.427811,0.691662
19.442492,75.600094,-9.682479,1.643942,4.809608,953.813332,7.542741,1.635512,16.754133,79.966412,28.116792,0.689667
19.601857,75.602661,-9.687085,1.955627,4.797956,874.691238,7.538731,1.320954,17.76606,78.957358,27.217761,0.68767
19.761222,75.605228,-9.691692,1.191791,4.908021,788.850556,7.534691,1.373783,16.889764,80.544664,27.100337,0.685669
19.920586,75.607794,-9.696299,0.370338,5.302622,702.533062,7.530623,0.986769,18.025286,80.617609,27.671416,0.683665
20.079951,75.610362,-9.700904,0.170868,5.888544,624.226248,7.526527,1.411811,19.533029,78.884292,27.612769,0.681659
20.239316,75.612928,-9.705511,0,6.168665,548.033464,7.522403,1.506625,19.96345,78.468225,26.958812,0.679649
20.39868,75.615496,-9.710117,0,5.915113,467.56334,7.518249,0.668141,22.660841,76.671018,26.045162,0.677637
20.558045,75.618062,-9.714724,0,5.311427,391.420262,7.514067,0.223188,21.471919,78.165077,23.842575,0.675622
20.71741,75.62063,-9.719329,1.103673,5.223318,330.050366,7.509857,0.837028,17.414686,80.644616,17.922454,0.673603
20.876774,75.623197,-9.723936,4.955141,5.096885,303.165128,7.505618,1.198868,12.432297,81.413694,8.346435,0.671582
21.036139,75.625764,-9.728542,8.025273,5.453783,301.430566,7.501351,0.825885,9.781534,81.36731,4.364016,0.669558
21.195504,75.628331,-9.733149,8.557509,5.66404,308.718228,7.497056,0.745789,8.240012,82.456689,5.849688,0.667531
21.354869,75.630899,-9.737755,8.129339,5.474831,318.555218,7.492731,0.697669,6.042608,85.130385,6.125673,0.665501
21.514233,75.633467,-9.742361,8.587032,5.389973,322.891352,7.488379,0.720179,5.911065,84.781726,5.61413,0.663468
21.673598,75.636034,-9.746967,9.921573,5.606857,326.337727,7.485297,0.591277,6.334838,83.152311,5.346512,0.661432
21.832963,75.638602,-9.751573,10.287258,5.697053,329.929336,7.484808,1.101608,6.489198,82.121936,6.079117,0.659393
21.992327,75.64117,-9.756179,10.82508,5.51435,335.850423,7.485176,0.499193,7.934123,80.741606,7.47872,0.657352
22.151692,75.643738,-9.760785,10.614946,5.980677,324.312897,7.485639,0.546007,11.494275,77.344769,10.948052,0.655307
22.311057,75.646305,-9.765391,8.525403,6.424466,290.865038,7.486196,0.88408,12.059202,78.531316,13.956852,0.653259
22.470421,75.648873,-9.769997,7.844359,6.289018,261.327923,7.486848,1.189857,9.621486,81.344299,11.890068,0.651209
22.629786,75.651442,-9.774603,8.766725,6.266511,242.40792,7.487595,1.795917,7.047617,82.38974,9.457032,0.649155
22.789151,75.65401,-9.779209,8.928269,6.458123,226.6156,7.488435,2.295524,6.397369,82.378836,8.923719,0.647099
22.948515,75.656578,-9.783815,9.318829,6.187901,212.295181,7.489371,2.131627,5.186154,83.363389,8.889125,0.64504
23.10788,75.659147,-9.788421,8.357857,5.86735,195.069615,7.4904,2.205593,4.880771,84.555781,8.84315,0.642977
23.267245,75.661715,-9.793027,8.108182,5.99207,168.691531,7.491525,1.555368,6.577711,83.758737,10.073834,0.640912
23.42661,75.664284,-9.797633,5.438325,6.401864,131.201516,7.492744,1.814888,10.389738,82.357047,12.765425,0.638844
23.585974,75.666852,-9.802239,4.967895,6.472908,87.213903,7.494057,1.904658,11.938288,81.189159,14.579006,0.636773
23.745339,75.66942,-9.806845,4.237042,6.244619,46.355332,7.495465,1.887924,11.891488,81.983544,13.655365,0.634699
23.904704,75.671989,-9.811451,2.577248,6.274707,14.669965,7.496967,2.438782,12.218707,82.765261,11.504371,0.632622
24.064068,75.674557,-9.816057,1.243279,6.566251,-14.484049,7.498564,3.039127,13.467488,82.250104,10.693962,0.630542
24.223433,75.677126,-9.820662,0.596878,7.194939,-44.214743,7.500256,2.605783,16.927562,79.869776,11.157607,0.628459
24.382798,75.679695,-9.825268,0.396632,7.192557,-72.925712,7.502042,2.062491,18.547558,78.993319,11.867219,0.626373
24.542162,75.682264,-9.829874,0.654959,7.065269,-100.565478,7.503923,1.779826,18.838583,78.726629,12.444333,0.624285
24.701527,75.684833,-9.83448,1.591961,6.708348,-129.973404,7.505898,1.347021,17.564664,79.496353,11.680486,0.622193
24.860892,75.687402,-9.839086,2.87007,6.389428,-158.009331,7.507967,0.924789,16.02834,80.176801,10.506074,0.620098
25.020256,75.689971,-9.843691,5.011526,5.664029,-184.115608,7.510132,1.251249,11.436035,82.301189,11.332723,0.618001
25.179621,75.69254,-9.848297,6.556877,5.02531,-211.491398,7.51239,1.262296,6.340421,85.840406,14.531375,0.6159
25.338986,75.69511,-9.852903,6.575168,4.834075,-248.070045,7.514744,1.400703,4.145904,87.878224,17.470177,0.613797
25.498351,75.697679,-9.857508,6.331835,5.078886,-290.299044,7.517192,1.834381,4.020982,87.812804,18.224412,0.611691
25.657715,75.700249,-9.862114,5.696524,5.403108,-340.180667,7.519734,2.004139,5.535995,86.763342,18.958104,0.609581
25.81708,75.702818,-9.86672,6.193603,5.5507,-396.095379,7.522371,1.583256,7.097204,85.125932,21.000426,0.607469
25.976445,75.705388,-9.871325,6.360215,5.686468,-453.130855,7.525103,1.482548,7.645159,84.512078,22.962838,0.605354
26.135809,75.707957,-9.875931,6.323667,5.700348,-511.213753,7.527929,1.942984,6.196713,85.536636,22.736024,0.603236
26.295174,75.710528,-9.880536,5.910466,5.816373,-572.170827,7.53085,2.643387,5.97815,85.467994,20.618706,0.601115
26.454539,75.713097,-9.885142,5.318998,5.965705,-627.640522,7.533865,2.888645,6.641932,85.150425,19.61185,0.598991
26.613903,75.715667,-9.889748,5.069606,6.236179,-679.741183,7.536975,2.776988,8.074457,84.07895,19.005802,0.596864
26.773268,75.718237,-9.894353,7.332999,6.233889,-722.766569,7.54018,2.429758,6.510807,83.726436,17.144087,0.594734
26.932633,75.720807,-9.898959,8.063534,6.420245,-760.330512,7.543479,2.615559,6.368389,82.952518,14.527096,0.592601
27.091997,75.723377,-9.903564,6.905199,6.869695,-797.41939,7.546873,2.466441,9.55429,81.07407,13.430121,0.590466
27.251362,75.725947,-9.908169,4.400886,7.468778,-842.259655,7.550361,2.587029,14.151526,78.860556,15.890211,0.588327
27.410727,75.728517,-9.912775,2.922355,7.887956,-892.95306,7.553944,2.646701,17.283583,77.147358,19.066449,0.586185
27.570091,75.731087,-9.91738,2.721111,7.859837,-946.059268,7.557621,2.462843,17.274579,77.541465,19.338784,0.584041
27.729456,75.733658,-9.921986,5.514107,6.864269,-991.247668,7.561393,2.380036,10.816241,81.289616,16.864059,0.581893
27.888821,75.736228,-9.926591,8.226107,6.102552,-1031.707189,7.56526,2.497637,5.117449,84.158807,16.133112,0.579743
28.048186,75.738799,-9.931196,7.614934,6.213109,-1075.892971,7.569221,2.735649,5.853862,83.795556,16.579148,0.57759
28.20755,75.74137,-9.935801,7.980738,5.861662,-1116.069298,7.573277,2.567744,5.634267,83.817252,15.401047,0.575433
28.366915,75.74394,-9.940407,8.608653,6.375748,-1157.573456,7.577428,2.678422,9.113288,79.599638,14.935798,0.573274
28.52628,75.746511,-9.945012,8.167373,6.591954,-1204.292514,7.581673,2.525296,11.650635,77.656696,15.46202,0.571112
28.685644,75.749081,-9.949618,6.047846,6.264243,-1253.377287,7.586158,1.854667,12.055019,80.042467,16.336689,0.568947
28.845009,75.751652,-9.954223,4.078633,6.691982,-1304.291126,7.591425,2.467098,15.176213,78.278054,16.938893,0.566779
29.004374,75.754223,-9.958828,2.507217,6.955873,-1346.272965,7.596929,3.183957,16.30151,78.007317,16.005797,0.564608
29.163738,75.756794,-9.963433,3.204417,7.087538,-1387.325148,7.602914,2.494598,16.28115,78.019833,15.04134,0.562434
29.323103,75.759365,-9.968039,1.816422,7.954758,-1431.396087,7.608795,3.484093,20.621333,74.078152,15.134279,0.560257
29.482468,75.761938,-9.972643,4.061564,7.114889,-1477.841808,7.614572,3.986937,15.756413,76.195088,16.144052,0.558077
29.641832,75.764508,-9.977249,5.126093,6.604083,-1522.290827,7.620244,3.942645,12.483247,78.448016,17.130562,0.555894
29.801197,75.767079,-9.981854,3.073615,6.825794,-1570.826331,7.625812,4.323431,14.704008,77.898945,18.084095,0.553709
29.960562,75.76965,-9.986459,3.029602,6.373502,-1623.473975,7.631276,3.654689,11.423262,81.892448,18.349378,0.55152
30.119927,75.772222,-9.991064,1.287769,6.765309,-1680.972968,7.636636,3.759364,13.001437,81.95143,17.681455,0.549329
30.279291,75.774793,-9.995669,1.467951,6.892064,-1733.808174,7.641891,3.68225,12.958156,81.891642,17.373778,0.547134
30.438656,75.777365,-10.000274,2.660813,6.987553,-1778.885902,7.647042,3.428515,12.47881,81.431861,17.636084,0.544937
30.598021,75.779937,-10.004879,5.657518,6.72604,-1823.330231,7.652089,2.98376,9.487438,81.871284,18.120494,0.542736
30.757385,75.782508,-10.009484,5.931429,6.87597,-1877.400453,7.657031,2.762483,10.382055,80.92403,18.460689,0.540533
30.91675,75.78508,-10.014089,5.667418,6.694497,-1936.597663,7.66187,2.436259,10.783553,81.112771,19.42563,0.538327
31.076115,75.787652,-10.018694,5.200542,6.603845,-1995.903772,7.666604,2.678839,10.768662,81.351958,20.560323,0.536117
31.235479,75.790224,-10.023299,5.764153,6.550088,-2051.282286,7.671233,2.355167,10.347196,81.533485,19.890391,0.533905
31.394844,75.792796,-10.027904,6.324463,6.330434,-2101.837911,7.675759,2.327131,8.231613,83.116791,17.856469,0.53169
31.554209,75.795368,-10.032509,5.700796,6.98927,-2151.894468,7.68018,2.987973,10.466001,80.845229,15.590262,0.529472
31.713573,75.797941,-10.037114,4.084156,7.4739,-2193.940164,7.684497,3.295078,13.339405,79.281364,13.654113,0.527251
31.872938,75.800513,-10.041719,2.849329,7.563147,-2232.080723,7.688709,3.402314,14.648886,79.099473,11.810018,0.525027
32.032303,75.803085,-10.046324,3.30809,7.472649,-2260.541256,7.692818,3.422331,13.928977,79.340604,7.78462,0.5228
32.191668,75.805658,-10.050929,4.645022,7.439425,-2272.586448,7.696822,3.314183,12.719943,79.320851,3.209559,0.52057
32.351032,75.80823,-10.055534,6.620183,7.457494,-2278.017084,7.700721,2.853796,11.58665,78.93937,1.39934,0.518338
32.510397,75.810803,-10.060138,7.830462,7.254838,-2279.856289,7.704517,2.657726,9.899757,79.612055,0.852109,0.516102
32.669762,75.813375,-10.064743,7.735191,7.325601,-2281.524746,7.708208,2.904499,9.961363,79.398945,1.417723,0.513863
32.829126,75.815948,-10.069348,7.118189,7.284164,-2286.503305,7.711795,3.085616,10.181224,79.614972,2.741452,0.511622
32.988491,75.818521,-10.073953,5.529163,7.032004,-2294.842805,7.715277,3.197403,10.403604,80.869832,3.967526,0.509377
33.147856,75.821093,-10.078557,3.391932,7.261475,-2307.402619,7.718655,3.349284,12.98234,80.276445,5.325256,0.50713
33.30722,75.823666,-10.083162,3.741221,7.421285,-2322.101751,7.721929,2.957234,13.885942,79.415603,6.046767,0.504879
33.466585,75.826239,-10.087767,4.924737,7.460526,-2334.825048,7.725098,2.716332,13.454636,78.904296,5.730499,0.502626
33.62595,75.828812,-10.092371,4.766891,7.426511,-2343.459686,7.728163,2.800025,13.333207,79.099879,5.538874,0.50037
33.785314,75.831386,-10.096976,4.178572,7.309815,-2352.881146,7.731124,3.018231,13.002512,79.800686,5.893058,0.498111
33.944679,75.833959,-10.101581,3.577586,7.231112,-2365.335927,7.73398,3.268225,13.030462,80.123727,5.897423,0.495848
34.104044,75.836532,-10.106185,4.45037,7.084459,-2375.885687,7.736732,3.433653,11.374239,80.741739,5.871801,0.493583
34.263408,75.839105,-10.11079,4.019544,7.073176,-2386.173694,7.73938,3.368205,11.740953,80.871301,6.384114,0.491315
34.422773,75.841679,-10.115394,4.075938,7.193567,-2401.720595,7.741924,3.108721,12.451604,80.36374,6.874127,0.489044
34.582138,75.844253,-10.119998,4.333841,7.16298,-2419.212335,7.744362,3.014842,12.248547,80.402769,6.802405,0.48677
34.741503,75.846826,-10.124604,6.009075,7.0657,-2435.066301,7.746697,2.723345,10.797616,80.469967,7.073869,0.484493
34.900867,75.8494,-10.129208,5.579664,6.738047,-2454.128514,7.748927,3.100997,9.431908,81.887431,7.599051,0.482213
35.060232,75.851973,-10.133813,4.857247,6.455855,-2472.589624,7.751053,3.065027,8.944994,83.13273,7.199563,0.479931
