position,Olivine Abundance,lon,lat
71.468378,2.879845,61.18982,-7.917825
71.73605,3.468696,61.189643,-7.926651
72.003722,3.341444,61.189466,-7.935476
72.271394,3.396725,61.18929,-7.944302
72.539066,3.238223,61.189113,-7.953127
72.806737,3.054708,61.188936,-7.961953
73.074409,2.618666,61.18876,-7.970778
73.342081,2.515919,61.188583,-7.979604
73.609753,2.35625,61.188406,-7.98843
73.877425,2.81513,61.188229,-7.997255
74.145097,2.47712,61.188053,-8.006081
74.412768,2.081415,61.187876,-8.014906
74.68044,2.479956,61.1877,-8.023732
74.948112,2.869965,61.187522,-8.032557
75.215784,2.814326,61.187345,-8.041383
75.483456,3.024463,61.187169,-8.050208
75.751128,2.956322,61.186993,-8.059034
76.018799,2.858492,61.186815,-8.067859
76.286471,2.508809,61.186638,-8.076685
76.554143,2.022902,61.186461,-8.08551
76.821815,2.716618,61.186286,-8.094336
77.089487,3.033913,61.186108,-8.103161
77.357159,3.377645,61.185931,-8.111987
77.62483,3.127747,61.185755,-8.120812
77.892502,2.960263,61.185577,-8.129638
78.160174,3.026602,61.185401,-8.138463
78.427846,3.079136,61.185225,-8.147289
78.695518,3.162428,61.185047,-8.156114
78.963189,2.940839,61.18487,-8.16494
79.230861,2.996831,61.184693,-8.173765
79.498533,3.67059,61.184516,-8.182591
79.766205,3.25456,61.18434,-8.191416
80.033877,2.562846,61.184162,-8.200242
80.301549,3.512313,61.183985,-8.209067
80.56922,3.908577,61.183809,-8.217893
80.836892,3.445071,61.183632,-8.226718
81.104564,3.409132,61.183456,-8.235544
81.372236,3.435308,61.183278,-8.244369
81.639908,3.746139,61.183101,-8.253195
81.90758,3.20842,61.182924,-8.26202
82.175251,3.267147,61.182748,-8.270846
82.442923,3.270856,61.18257,-8.279672
82.710595,3.262293,61.182393,-8.288497
82.978267,3.617794,61.182216,-8.297323
83.245939,3.707742,61.18204,-8.306148
83.513611,3.696498,61.181862,-8.314974
83.781282,3.632844,61.181685,-8.323799
84.048954,3.573088,61.181509,-8.332625
84.316626,3.722128,61.181331,-8.34145
84.584298,3.958081,61.181155,-8.350276
84.85197,4.011321,61.180978,-8.359101
85.119642,3.787226,61.1808,-8.367927
85.387313,3.461727,61.180623,-8.376752
85.654985,3.687144,61.180446,-8.385578
85.922657,3.881261,61.18027,-8.394403
86.190329,3.941241,61.180092,-8.403229
86.458001,4.356705,61.179915,-8.412054
86.725673,3.851422,61.179737,-8.42088
86.993344,4.181813,61.17956,-8.429705
87.261016,4.757784,61.179383,-8.438531
87.528688,3.172664,61.179207,-8.447356
87.79636,1.69725,61.179029,-8.456182
88.064032,2.577614,61.178853,-8.465007
88.331703,1.371716,61.178675,-8.473833
88.599375,2.264453,61.178497,-8.482658
88.867047,1.987818,61.17832,-8.491484
89.134719,1.759822,61.178144,-8.500309
89.402391,2.717928,61.177967,-8.509135
89.670063,2.419195,61.177789,-8.51796
89.937734,2.385389,61.177612,-8.526786
90.205406,2.930981,61.177434,-8.535611
90.473078,4.38251,61.177257,-8.544437
90.74075,3.517611,61.17708,-8.553262
91.008422,2.582111,61.176903,-8.562088
91.276094,2.643542,61.176726,-8.570913
91.543765,3.8054,61.176548,-8.579739
91.811437,4.234852,61.176371,-8.588564
92.079109,4.071817,61.176194,-8.59739
92.346781,4.681167,61.176017,-8.606215
92.614453,4.283441,61.175839,-8.615041
92.882125,5.314107,61.175662,-8.623866
93.149796,6.464508,61.175485,-8.632692
93.417468,7.40015,61.175307,-8.641517
93.68514,9.57238,61.17513,-8.650343
93.952812,13.067202,61.174953,-8.659169
94.220484,14.42588,61.174775,-8.667994
94.488156,14.708018,61.174598,-8.67682
94.755827,12.849032,61.174421,-8.685645
95.023499,8.65611,61.174243,-8.694471
95.291171,5.046649,61.174066,-8.703296
95.558843,3.16229,61.173889,-8.712122
95.826515,3.220407,61.173711,-8.720947
96.094187,2.960636,61.173534,-8.729773
96.361858,3.667808,61.173356,-8.738598
96.62953,3.49027,61.173179,-8.747424
96.897202,2.734121,61.173002,-8.756249
97.164874,3.738571,61.172824,-8.765075
97.432546,4.715778,61.172648,-8.7739
97.700217,3.861695,61.17247,-8.782726
97.967889,5.085243,61.172292,-8.791551
98.235561,5.44615,61.172115,-8.800377
98.503233,3.63401,61.171937,-8.809202
98.770905,5.592214,61.17176,-8.818028
