position,Olivine Abundance,lon,lat
46.240477,2.775714,25.956934,-11.133458
46.416296,2.757257,25.961002,-11.137664
46.592115,3.312041,25.965069,-11.141871
46.767934,4.01205,25.969136,-11.146077
46.943754,3.696715,25.973204,-11.150283
47.119573,2.650402,25.977273,-11.154488
47.295392,1.562183,25.98134,-11.158695
47.471212,1.359615,25.985409,-11.1629
47.647031,2.584918,25.989476,-11.167106
47.82285,3.719321,25.993545,-11.171312
47.99867,4.02672,25.997614,-11.175517
48.174489,3.911326,26.001682,-11.179723
48.350308,3.173605,26.00575,-11.183929
48.526128,2.631764,26.00982,-11.188134
48.701947,2.418851,26.013888,-11.19234
48.877766,2.325495,26.017957,-11.196545
49.053585,2.433357,26.022026,-11.200751
49.229405,2.665912,26.026096,-11.204956
49.405224,2.131763,26.030165,-11.209161
49.581043,2.007094,26.034234,-11.213366
49.756863,2.382574,26.038304,-11.217571
49.932682,2.519602,26.042374,-11.221777
50.108501,3.097729,26.046444,-11.225982
50.284321,2.984762,26.050514,-11.230187
50.46014,2.520513,26.054584,-11.234391
50.635959,2.39558,26.058654,-11.238596
50.811778,1.653891,26.062725,-11.242801
50.987598,0.938274,26.066795,-11.247006
51.163417,0.612087,26.070865,-11.251211
51.339236,1.705416,26.074936,-11.255415
51.515056,1.685649,26.079007,-11.25962
51.690875,1.070148,26.083078,-11.263824
51.866694,0.807339,26.087149,-11.268029
52.042514,1.618417,26.09122,-11.272233
52.218333,3.104173,26.095291,-11.276438
52.394152,3.729386,26.099363,-11.280641
52.569971,3.879311,26.103434,-11.284846
52.745791,3.277027,26.107506,-11.28905
52.92161,2.53372,26.111578,-11.293254
53.097429,3.372176,26.11565,-11.297459
53.273249,3.509802,26.119722,-11.301663
53.449068,3.325879,26.123794,-11.305867
53.624887,2.707831,26.127866,-11.310071
53.800707,2.199018,26.131938,-11.314274
53.976526,2.836582,26.136011,-11.318478
54.152345,3.321639,26.140083,-11.322682
54.328164,3.562171,26.144156,-11.326886
54.503984,4.276142,26.148229,-11.331089
54.679803,4.023934,26.152302,-11.335293
54.855622,3.793213,26.156375,-11.339496
55.031442,4.01989,26.160448,-11.3437
55.207261,3.970956,26.164522,-11.347903
55.38308,3.987736,26.168596,-11.352106
55.5589,3.067559,26.172669,-11.35631
55.734719,3.584036,26.176742,-11.360513
55.910538,3.674874,26.180816,-11.364716
56.086358,3.815946,26.18489,-11.36892
56.262177,4.582218,26.188964,-11.373123
56.437996,3.228716,26.193039,-11.377325
56.613815,3.001918,26.197113,-11.381529
56.789635,1.918918,26.201187,-11.385732
56.965454,1.771486,26.205261,-11.389934
57.141273,1.489629,26.209336,-11.394137
57.317093,1.904841,26.213411,-11.39834
57.492912,3.523532,26.217486,-11.402543
57.668731,3.313914,26.221561,-11.406745
57.844551,2.891395,26.225636,-11.410948
58.02037,2.732466,26.229711,-11.41515
58.196189,2.932066,26.233787,-11.419353
58.372008,3.421453,26.237862,-11.423555
58.547828,3.751053,26.241938,-11.427758
58.723647,3.010117,26.246013,-11.43196
58.899466,2.914599,26.250089,-11.436162
59.075286,3.762647,26.254165,-11.440364
59.251105,3.914933,26.258241,-11.444566
59.426924,3.494295,26.262317,-11.448768
59.602744,2.953408,26.266394,-11.45297
59.778563,3.554147,26.27047,-11.457172
59.954382,3.333013,26.274547,-11.461374
60.130201,3.245512,26.278624,-11.465576
60.306021,1.39855,26.2827,-11.469778
60.48184,0.876417,26.286777,-11.47398
60.657659,0.723521,26.290854,-11.478181
60.833479,0.708976,26.294932,-11.482383
61.009298,1.026728,26.299009,-11.486585
61.185117,1.281804,26.303086,-11.490786
61.360937,1.285374,26.307164,-11.494988
61.536756,1.962307,26.311242,-11.499189
61.712575,2.696567,26.315319,-11.50339
61.888394,2.529738,26.319397,-11.507592
62.064214,3.107763,26.323475,-11.511793
62.240033,3.600969,26.327553,-11.515994
62.415852,3.162319,26.331632,-11.520195
62.591672,2.431607,26.33571,-11.524396
62.767491,1.762721,26.339789,-11.528597
62.94331,1.764531,26.343867,-11.532798
63.11913,2.053531,26.347947,-11.536998
63.294949,1.868694,26.352025,-11.5412
63.470768,1.905071,26.356104,-11.5454
63.646588,2.246291,26.360183,-11.549601
63.822407,2.445691,26.364262,-11.553802
63.998226,2.438748,26.368342,-11.558002
64.174045,2.074321,26.372421,-11.562203
64.349865,2.275836,26.376501,-11.566403
64.525684,2.347532,26.380581,-11.570604
64.701503,3.252602,26.38466,-11.574804
64.877323,2.951264,26.38874,-11.579005
65.053142,2.19096,26.392821,-11.583205
65.228961,2.279367,26.396901,-11.587405
65.404781,2.533862,26.400981,-11.591605
65.5806,2.097042,26.405062,-11.595805
65.756419,1.835333,26.409143,-11.600005
65.932238,1.271006,26.413223,-11.604205
66.108058,1.660062,26.417304,-11.608405
66.283877,2.331939,26.421385,-11.612605
66.459696,2.251674,26.425466,-11.616805
66.635516,2.018912,26.429547,-11.621005
66.811335,2.352273,26.433628,-11.625204
66.987154,2.757304,26.43771,-11.629404
67.162974,2.872433,26.441792,-11.633603
67.338793,3.923018,26.445873,-11.637803
67.514612,3.444769,26.449955,-11.642002
67.690431,6.504176,26.454037,-11.646202
67.866251,6.626848,26.458119,-11.650401
68.04207,6.362669,26.462201,-11.6546
68.217889,5.762945,26.466284,-11.6588
68.393709,4.177411,26.470366,-11.662999
68.569528,4.38892,26.474449,-11.667198
68.745347,2.65817,26.478532,-11.671396
68.921167,1.583578,26.482614,-11.675596
69.096986,1.72526,26.486697,-11.679795
