Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_3,6.800623,-51.343755,11.569042,23.317745,16.891877,-1524.742054,21.152695,8.241805,27.673996,40.766453,18.748122,5.337945
D_1_8_3,6.872209,-51.341788,11.570406,26.137581,16.96662,-1546.537443,21.151743,6.313127,28.205264,39.34403,18.445798,5.339062
D_1_8_3,6.943794,-51.339821,11.57177,26.538186,17.196871,-1569.30674,21.150801,6.189628,29.033601,38.238584,19.473294,5.340179
D_1_8_3,7.01538,-51.337854,11.573134,28.799114,17.435731,-1595.556487,21.149867,6.3466,28.021208,36.83308,20.71323,5.341297
D_1_8_3,7.086965,-51.335887,11.574498,28.183663,17.706667,-1623.702436,21.148943,6.352757,29.616755,35.846827,20.880662,5.342416
D_1_8_3,7.158551,-51.333921,11.575862,25.869281,17.816446,-1650.164647,21.148026,5.948341,32.637816,35.544564,19.34114,5.343535
D_1_8_3,7.230136,-51.331954,11.577226,27.888393,17.805058,-1673.147104,21.147118,4.269001,33.264062,34.578546,16.770445,5.344655
D_1_8_3,7.301722,-51.329987,11.57859,31.168507,17.979455,-1691.955997,21.146218,5.054438,30.581971,33.195083,16.291153,5.345776
D_1_8_3,7.373307,-51.32802,11.579954,32.749897,18.055843,-1714.257289,21.145328,6.367351,29.03028,31.852471,18.905247,5.346896
D_1_8_3,7.444893,-51.326053,11.581318,34.494179,17.892927,-1743.804021,21.144446,6.840295,27.812715,30.852814,19.739589,5.348018
D_1_8_3,7.516478,-51.324087,11.582682,38.786233,17.500372,-1769.427233,21.143572,7.27762,24.882224,29.053925,13.6562,5.34914
D_1_8_3,7.588064,-51.32212,11.584046,39.486162,17.361949,-1778.901768,21.142707,7.38895,24.089049,29.035839,4.22928,5.350262
